"Day","Items","Note","Amount"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(1000)"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(1000)"
"90","Salary Expense","Cash Payment - Salary Expense","(24922)"
"90","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","7296"
"90","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8832"
"90","Retail","Revenue - Retail Sales Los Angeles - Shampoo","11072"
"90","Retail","Revenue - Retail Sales New York - Mouthwash","8992"
"90","Retail","Revenue - Retail Sales New York - Body Wash","15015"
"90","Retail","Revenue - Retail Sales New York - Shampoo","12000"
"90","Retail","Revenue - Retail Sales Chicago - Mouthwash","4114"
"90","Retail","Revenue - Retail Sales Chicago - Body Wash","6913"
"90","Retail","Revenue - Retail Sales Chicago - Shampoo","6014"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1200"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1568"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1674"
"90","Retail","Revenue - Retail Sales Miami - Mouthwash","416"
"90","Retail","Revenue - Retail Sales Miami - Body Wash","480"
"90","Retail","Revenue - Retail Sales Miami - Shampoo","496"
"90","Retail","Revenue - Retail Sales San Francisco - Mouthwash","990"
"90","Retail","Revenue - Retail Sales San Francisco - Body Wash","1500"
"90","Retail","Revenue - Retail Sales San Francisco - Shampoo","1395"
"90","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 10628","(5500)"
"90","Services","Revenue - Service Sales Order ID: 13228","66000"
"90","Rental Expense","Cash Payment - RentalLos Angeles","(2160)"
"90","Rental Expense","Cash Payment - RentalDetroit","(1800)"
"90","Rental Expense","Cash Payment - RentalNew York","(5360)"
"90","Rental Expense","Cash Payment - RentalChicago","(2960)"
"90","Rental Expense","Cash Payment - RentalWashington, D.C.","(4880)"
"90","Rental Expense","Cash Payment - RentalMiami","(2240)"
"90","Rental Expense","Cash Payment - RentalSan Francisco","(4480)"
"89","Wholesales (B2B)","Revenue - B2B SO ID: 13206","1078880"
"89","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 13206","(21000)"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(1000)"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(1000)"
"89","Salary Expense","Cash Payment - Salary Expense","(23986)"
"89","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14254","(200)"
"89","Sales E Commerce","Revenue - E-Commerce Sales","10944"
"89","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","7008"
"89","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8384"
"89","Retail","Revenue - Retail Sales Los Angeles - Shampoo","10656"
"89","Retail","Revenue - Retail Sales New York - Mouthwash","8512"
"89","Retail","Revenue - Retail Sales New York - Body Wash","14322"
"89","Retail","Revenue - Retail Sales New York - Shampoo","10336"
"89","Retail","Revenue - Retail Sales Chicago - Mouthwash","3944"
"89","Retail","Revenue - Retail Sales Chicago - Body Wash","7161"
"89","Retail","Revenue - Retail Sales Chicago - Shampoo","6789"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1140"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1696"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1488"
"89","Retail","Revenue - Retail Sales Miami - Mouthwash","416"
"89","Retail","Revenue - Retail Sales Miami - Body Wash","448"
"89","Retail","Revenue - Retail Sales Miami - Shampoo","496"
"89","Retail","Revenue - Retail Sales San Francisco - Mouthwash","990"
"89","Retail","Revenue - Retail Sales San Francisco - Body Wash","1680"
"89","Retail","Revenue - Retail Sales San Francisco - Shampoo","1364"
"89","Services","Revenue - Service Sales Order ID: 13015","66000"
"89","Rental Expense","Cash Payment - RentalLos Angeles","(2160)"
"89","Rental Expense","Cash Payment - RentalDetroit","(1800)"
"89","Rental Expense","Cash Payment - RentalNew York","(5360)"
"89","Rental Expense","Cash Payment - RentalChicago","(2960)"
"89","Rental Expense","Cash Payment - RentalWashington, D.C.","(4880)"
"89","Rental Expense","Cash Payment - RentalMiami","(2240)"
"89","Rental Expense","Cash Payment - RentalSan Francisco","(4480)"
"88","Wholesales (B2B)","Revenue - B2B SO ID: 13379","432960"
"88","Wholesales (B2B)","Revenue - B2B SO ID: 12911","193815"
"88","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 12911","(7000)"
