"Day","Items","Note","Amount"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"90","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"90","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"90","Salary Expense","Cash Payment - Salary Expense","24922"
"90","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 10628","5500"
"90","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"90","Rental Expense","Cash Payment - RentalDetroit","1800"
"90","Rental Expense","Cash Payment - RentalNew York","5360"
"90","Rental Expense","Cash Payment - RentalChicago","2960"
"90","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"90","Rental Expense","Cash Payment - RentalMiami","2240"
"90","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"89","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"89","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"89","Salary Expense","Cash Payment - Salary Expense","23986"
"89","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14254","200"
"89","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"89","Rental Expense","Cash Payment - RentalDetroit","1800"
"89","Rental Expense","Cash Payment - RentalNew York","5360"
"89","Rental Expense","Cash Payment - RentalChicago","2960"
"89","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"89","Rental Expense","Cash Payment - RentalMiami","2240"
"89","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"88","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"88","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"88","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"88","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"88","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"88","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"88","Salary Expense","Cash Payment - Salary Expense","23986"
"88","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13911","300"
"88","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13928","400"
"88","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"88","Rental Expense","Cash Payment - RentalDetroit","1800"
"88","Rental Expense","Cash Payment - RentalNew York","5360"
"88","Rental Expense","Cash Payment - RentalChicago","2960"
"88","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"88","Rental Expense","Cash Payment - RentalMiami","2240"
"88","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"87","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"87","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"87","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
